qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
IQ2_XS,64x4096,64,4096,iq2_fused_grid_or_neighbour,5,169.488383,13.50963134765625,-92.02916972329824,1048576,75776,0.08322595717573456,0.00888976256950807,75797.77520558702,True
IQ2_XS,4096x4096,4096,4096,iq2_fused_grid_or_neighbour,2,610.387939,41.11769485473633,-93.26367835476901,67108864,4849664,1.7500623090428702,0.18693252606738625,1593863.669437951,skip
IQ2_XS,11008x4096,11008,4096,iq2_fused_grid_or_neighbour,2,1331.420166,86.15873718261719,-93.52880935839624,180355072,13033472,2.2445610314610875,0.2397522998783473,2044226.8046093695,skip
IQ2_XXS,64x4096,64,4096,iq2_fused_grid_or_neighbour,5,58.359807,4.2416126251220705,-92.73196255580135,1048576,67584,0.2631451993963918,0.028107797414696836,241417.6141251301,True
IQ2_XXS,4096x4096,4096,4096,iq2_fused_grid_or_neighbour,2,233.813828,16.05683135986328,-93.13264253991716,67108864,4325376,4.448837905750306,0.4752016562433567,4081502.6658259686,skip
IQ2_XXS,11008x4096,11008,4096,iq2_fused_grid_or_neighbour,2,511.188995,30.523391723632812,-94.02894193298648,180355072,11624448,6.289586745085061,0.6718208443799467,5770263.068885377,skip
IQ2_S,64x4096,64,4096,iq2_fused_grid_or_neighbour,5,213.381795,3.493695831298828,-98.36270201434061,1048576,83968,0.32416788830153015,0.03462592269830486,293099.35651132924,True
IQ2_S,4096x4096,4096,4096,iq2_fused_grid_or_neighbour,2,741.796814,12.516863822937012,-98.31262906678688,67108864,5373952,5.7908128605806235,0.6185444200577466,5235816.3296389,skip
IQ2_S,11008x4096,11008,4096,iq2_fused_grid_or_neighbour,2,1624.433716,21.050880432128906,-98.70410960910337,180355072,14442496,9.253654194087304,0.9884270662344908,8366775.944021069,skip
